time,logMean,logSD,frac_log(mean)
0,6.040968742,3.613552789,0.533203799
4,6.018836494,2.929743751,0.274117406
8,6.030204375,3.117597366,0.327644498
12,6.083815808,3.371708852,0.403945683
16,6.152945438,3.234616545,0.332406057
20,6.23636959,3.149270333,0.284591335
24,6.292494637,3.291666189,0.313025428
28,6.343704672,3.468381884,0.357771825
32,6.399260271,3.548379085,0.369834828
36,6.442380918,3.610751502,0.37956431
40,6.472346295,3.634730993,0.379053995
44,6.516193076,3.798670284,0.430317285
48,6.558197803,3.842417514,0.43384652
52,6.597963921,3.809491236,0.405874378
56,6.634370511,3.945199775,0.450720914
60,6.67569711,3.883747236,0.409230693
64,6.710279474,3.963734325,0.430458418
68,6.720099521,3.759993806,0.34819147
72,6.81003219,3.821579046,0.342989208
76,6.858775097,3.643232825,0.275267094
80,6.856040843,4.033476922,0.407614346
84,6.958258261,4.164032259,0.425582352
88,7.006242226,4.129074483,0.394409234
92,7.057295346,4.137123256,0.380560464
96,7.109389147,4.210443925,0.391594311
100,7.167115034,4.151103969,0.351161918
104,7.208156124,4.224533306,0.36479868
108,7.256226666,4.199191064,0.341237811
112,7.297023252,4.347426952,0.382078265
116,7.344460623,4.340924252,0.36436834
120,7.391538532,4.395992942,0.369645927
124,7.463993942,4.341663512,0.328821648
128,7.504226347,4.401671212,0.337196726
132,7.554387206,4.456692159,0.341104442
136,7.596392304,4.516244405,0.349072912
140,7.641180306,4.525826002,0.33898405
144,7.676473646,4.570161583,0.343643058
148,7.698165277,4.949260118,0.492666337
152,7.781555959,4.800379761,0.394782663
156,7.825125428,4.84545682,0.397592033
160,7.872378928,5.049311478,0.467803401
164,7.923891346,5.051279621,0.448104279
168,7.972155623,5.008732666,0.411696837
172,8.000885904,5.180530737,0.476730998
176,8.079308192,5.186141059,0.447597502
180,8.125335087,5.316059923,0.489540445
184,8.174195712,5.21619703,0.424426534
188,8.227161695,5.426627591,0.500027081
192,8.28055905,5.462029509,0.494296837
196,8.314293347,5.617301652,0.560449818
200,8.380273207,5.477336762,0.45975758
204,8.433876798,5.544773856,0.469143591
208,8.483284743,5.558672422,0.455429388
212,8.521563627,5.579756644,0.449685363
216,8.570733958,5.709333033,0.490148166
220,8.622093601,5.717066173,0.47203625
224,8.66343842,5.723629243,0.45808639
228,8.706490362,5.814580318,0.482950422
232,8.748622322,5.823952488,0.469647157
236,8.790466961,5.872732413,0.47517757
