time,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,Mean,S.D.
0.00,362.00,391.00,397.00,401.00,493.00,413.00,418.00,457.00,441.00,430.00,420.30,37.10
4.00,405.00,369.00,401.00,407.00,432.00,423.00,425.00,432.00,410.00,407.00,411.10,18.72
8.00,414.00,361.00,402.00,419.00,423.00,422.00,431.00,448.00,421.00,417.00,415.80,22.59
12.00,418.00,376.00,425.00,437.00,440.00,451.00,463.00,486.00,448.00,443.00,438.70,29.13
16.00,462.00,404.00,473.00,472.00,470.00,489.00,479.00,499.00,478.00,475.00,470.10,25.40
20.00,501.00,458.00,499.00,508.00,525.00,528.00,522.00,546.00,512.00,511.00,511.00,23.32
24.00,537.00,480.00,524.00,539.00,532.00,565.00,564.00,575.00,552.00,537.00,540.50,26.89
28.00,542.00,497.00,567.00,562.00,565.00,612.00,586.00,596.00,573.00,589.00,568.90,32.08
32.00,579.00,528.00,585.00,606.00,587.00,649.00,605.00,639.00,607.00,629.00,601.40,34.76
36.00,611.00,548.00,623.00,616.00,629.00,667.00,626.00,660.00,618.00,681.00,627.90,36.99
40.00,617.00,566.00,637.00,646.00,635.00,682.00,664.00,673.00,648.00,702.00,647.00,37.89
44.00,645.00,575.00,670.00,666.00,681.00,708.00,698.00,689.00,682.00,746.00,676.00,44.64
48.00,667.00,596.00,696.00,705.00,701.00,745.00,733.00,729.00,718.00,760.00,705.00,46.64
52.00,683.00,638.00,735.00,741.00,723.00,793.00,746.00,758.00,739.00,780.00,733.60,45.13
56.00,706.00,650.00,762.00,765.00,743.00,826.00,780.00,790.00,772.00,814.00,760.80,51.69
60.00,756.00,679.00,799.00,779.00,787.00,838.00,821.00,822.00,801.00,847.00,792.90,48.61
64.00,782.00,697.00,830.00,829.00,804.00,867.00,864.00,843.00,815.00,877.00,820.80,52.65
68.00,755.00,764.00,829.00,867.00,806.00,869.00,820.00,876.00,848.00,855.00,828.90,42.95
72.00,854.00,822.00,891.00,900.00,878.00,950.00,944.00,960.00,934.00,936.00,906.90,45.68
76.00,900.00,881.00,972.00,992.00,921.00,991.00,958.00,972.00,968.00,967.00,952.20,38.22
80.00,893.00,837.00,961.00,990.00,923.00,956.00,920.00,1006.00,998.00,1012.00,949.60,56.46
84.00,1007.00,908.00,1058.00,1095.00,1015.00,1094.00,1025.00,1099.00,1117.00,1100.00,1051.80,64.33
88.00,1050.00,981.00,1104.00,1166.00,1077.00,1159.00,1060.00,1145.00,1177.00,1116.00,1103.50,62.12
92.00,1103.00,1033.00,1166.00,1223.00,1120.00,1237.00,1155.00,1191.00,1218.00,1167.00,1161.30,62.62
96.00,1171.00,1073.00,1241.00,1275.00,1184.00,1308.00,1212.00,1246.00,1272.00,1252.00,1223.40,67.39
100.00,1237.00,1142.00,1329.00,1355.00,1282.00,1337.00,1303.00,1329.00,1323.00,1324.00,1296.10,63.50
104.00,1303.00,1190.00,1379.00,1425.00,1326.00,1401.00,1323.00,1386.00,1381.00,1390.00,1350.40,68.34
108.00,1364.00,1258.00,1461.00,1464.00,1418.00,1491.00,1395.00,1446.00,1446.00,1426.00,1416.90,66.63
112.00,1395.00,1295.00,1515.00,1516.00,1477.00,1557.00,1464.00,1530.00,1504.00,1506.00,1475.90,77.28
116.00,1516.00,1358.00,1584.00,1597.00,1520.00,1622.00,1515.00,1581.00,1589.00,1594.00,1547.60,76.78
120.00,1566.00,1435.00,1660.00,1664.00,1586.00,1704.00,1586.00,1655.00,1677.00,1689.00,1622.20,81.13
124.00,1679.00,1562.00,1819.00,1763.00,1732.00,1812.00,1744.00,1765.00,1754.00,1811.00,1744.10,76.84
128.00,1734.00,1645.00,1877.00,1827.00,1783.00,1897.00,1785.00,1861.00,1837.00,1911.00,1815.70,81.59
132.00,1799.00,1748.00,1987.00,1928.00,1881.00,1987.00,1884.00,1907.00,1944.00,2026.00,1909.10,86.20
136.00,1904.00,1783.00,2047.00,2004.00,2018.00,2031.00,1953.00,2035.00,2024.00,2111.00,1991.00,91.49
140.00,2005.00,1878.00,2206.00,2104.00,2061.00,2135.00,2049.00,2098.00,2117.00,2169.00,2082.20,92.37
144.00,2063.00,1968.00,2284.00,2219.00,2114.00,2216.00,2087.00,2172.00,2217.00,2230.00,2157.00,96.56
148.00,2021.00,1987.00,2404.00,2256.00,2144.00,2223.00,2086.00,2273.00,2279.00,2370.00,2204.30,141.07
152.00,2209.00,2205.00,2517.00,2470.00,2395.00,2428.00,2284.00,2468.00,2446.00,2538.00,2396.00,121.56
156.00,2276.00,2329.00,2627.00,2574.00,2533.00,2535.00,2384.00,2555.00,2569.00,2645.00,2502.70,127.16
160.00,2388.00,2426.00,2821.00,2700.00,2587.00,2705.00,2448.00,2643.00,2721.00,2799.00,2623.80,155.92
164.00,2532.00,2536.00,2964.00,2855.00,2723.00,2827.00,2619.00,2795.00,2825.00,2949.00,2762.50,156.22
168.00,2677.00,2697.00,3132.00,2963.00,2859.00,2963.00,2768.00,2923.00,2943.00,3066.00,2899.10,149.71
172.00,2765.00,2788.00,3224.00,3084.00,2802.00,3006.00,2851.00,3004.00,3057.00,3255.00,2983.60,177.78
176.00,2976.00,3095.00,3489.00,3325.00,3190.00,3243.00,2959.00,3266.00,3272.00,3455.00,3227.00,178.78
180.00,3117.00,3253.00,3698.00,3507.00,3322.00,3369.00,3064.00,3385.00,3444.00,3631.00,3379.00,203.58
184.00,3296.00,3488.00,3811.00,3625.00,3498.00,3567.00,3247.00,3547.00,3595.00,3808.00,3548.20,184.23
188.00,3457.00,3631.00,4087.00,3901.00,3651.00,3784.00,3392.00,3744.00,3716.00,4049.00,3741.20,227.38
192.00,3620.00,3847.00,4276.00,4098.00,3881.00,4009.00,3570.00,3953.00,3945.00,4265.00,3946.40,235.58
196.00,3841.00,3834.00,4491.00,4237.00,3783.00,4132.00,3799.00,4073.00,4101.00,4527.00,4081.80,275.15
200.00,4124.00,4088.00,4730.00,4499.00,4243.00,4478.00,4079.00,4346.00,4309.00,4706.00,4360.20,239.21
204.00,4354.00,4301.00,5008.00,4683.00,4539.00,4756.00,4288.00,4551.00,4554.00,4969.00,4600.30,255.90
208.00,4586.00,4541.00,5292.00,4945.00,4783.00,4931.00,4523.00,4802.00,4750.00,5180.00,4833.30,259.48
212.00,4765.00,4707.00,5453.00,5144.00,4959.00,5121.00,4745.00,4948.00,4949.00,5428.00,5021.90,265.01
216.00,4995.00,4900.00,5769.00,5484.00,5213.00,5386.00,4940.00,5246.00,5137.00,5680.00,5275.00,301.67
220.00,5292.00,5146.00,6014.00,5733.00,5512.00,5649.00,5200.00,5492.00,5482.00,6010.00,5553.00,304.01
224.00,5496.00,5408.00,6285.00,5945.00,5724.00,5930.00,5436.00,5784.00,5658.00,6208.00,5787.40,306.01
228.00,5728.00,5677.00,6581.00,6213.00,5954.00,6140.00,5618.00,6041.00,5927.00,6541.00,6042.00,335.15
232.00,5973.00,5935.00,6834.00,6422.00,6277.00,6481.00,5853.00,6322.00,6142.00,6781.00,6302.00,338.31
236.00,6243.00,6180.00,7121.00,6686.00,6531.00,6768.00,6090.00,6545.00,6455.00,7094.00,6571.30,355.22
