time,Mean,S.D.
0,420.3,37.09761897
4,411.1,18.72283217
8,415.8,22.59203399
12,438.7,29.12826043
16,470.1,25.39663145
20,511,23.31904324
24,540.5,26.88762623
28,568.9,32.08478352
32,601.4,34.75693376
36,627.9,36.99384333
40,647,37.89165842
44,676,44.64178411
48,705,46.63808649
52,733.6,45.12747377
56,760.8,51.6866628
60,792.9,48.60601243
64,820.8,52.65358487
68,828.9,42.94815997
72,906.9,45.67627636
76,952.2,38.21518023
80,949.6,56.45686652
84,1051.8,64.33039717
88,1103.5,62.1204028
92,1161.3,62.62241345
96,1223.4,67.3864477
100,1296.1,63.50406811
104,1350.4,68.342601
108,1416.9,66.63240786
112,1475.9,77.27936335
116,1547.6,76.7784692
120,1622.2,81.12514338
124,1744.1,76.83524943
128,1815.7,81.5871041
132,1909.1,86.2018948
136,1991,91.4913475
140,2082.2,92.37219399
144,2157,96.55971094
148,2204.3,141.0705497
152,2396,121.5565712
156,2502.7,127.1613586
160,2623.8,155.9150766
164,2762.5,156.222242
168,2899.1,149.7148772
172,2983.6,177.7771389
176,3227,178.7773289
180,3379,203.580178
184,3548.2,184.2322206
188,3741.2,227.3811289
192,3946.4,235.5750411
196,4081.8,275.1459411
200,4360.2,239.2087884
204,4600.3,255.8967022
208,4833.3,259.4781301
212,5021.9,265.0071068
216,5275,301.6697974
220,5553,304.0116957
224,5787.4,306.0135073
228,6042,335.1507124
232,6302,338.3065671
236,6571.3,355.2182584
