#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-11-27T09:29:10 [V7.294]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.294	
#INFO	-ref=VIZ6382813011d72b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-nav=cat:J/ApJ/607/665&tab:{J/ApJ/607/665/table5}&key:source=J/ApJ/607/665/table2&HTTPPRM:&&-ref=VIZ6382813011d72b&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=Name&-out=HJD&-out=Filt&-out=Vega&-out=e_Vega&-out=Epoch&-out=Trans&-out=Kcorr&-out=e_Kcorr&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/607/665/table2&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= J/ApJ/607/665/table5
#-out=Name
#-out=HJD
#-out=Filt
#-out=Vega
#-out=e_Vega
#-out=Epoch
#-out=Trans
#-out=Kcorr
#-out=e_Kcorr
#-out.src=J/ApJ/607/665/table2
#

#RESOURCE=yCat_16070665
#Name: J/ApJ/607/665
#Title: Type Ia supernovae at z>1 discovered by HST (Riess+, 2004)
#Table	J_ApJ_607_665_table5:
#Name: J/ApJ/607/665/table5
#Title: MLCS2k2 (multicolor light-curve shape method) full sample
#Column	Name	(a9)	Supernova identification	[ucd=]
#Column	n_Name	(A1)	Simbad column added by the CDS	[ucd=]
#Column	z	(F7.4)	Redshift	[ucd=]
#Column	mu	(F5.2)	Extinction-corrected distance modulus (1)	[ucd=]
#Column	sigma	(F5.2)	Velocity dispersion (2)	[ucd=]
#Column	AV	(F5.2)	? Host galaxy V band extinction	[ucd=]
#Column	Qual	(a6)	Sample quality code (gold or silver)	[ucd=]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	n_Name	z	mu	sigma	AV	Qual	Simbad	NED	_RA	_DE
 	 	 	mag	km/s	mag	 	 	 	deg	deg
---------	-	-------	-----	-----	-----	------	------	---	---------	---------
SN 1990T 	 	 0.0400	36.38	 0.19	 0.37	gold  	Simbad	NED	299.75954	-56.25836
SN 1990af	 	 0.0500	36.84	 0.21	-0.04	gold  	Simbad	NED	323.74271	-62.73528
SN 1990O 	 	 0.0307	35.90	 0.20	 0.11	gold  	Simbad	NED	258.90083	+16.32194
SN 1991S 	 	 0.0560	37.31	 0.18	 0.20	gold  	Simbad	NED	157.36542	+22.01194
SN 1991U 	 	 0.0331	35.54	 0.20	 0.37	gold  	Simbad	NED	200.84167	-26.10833
SN 1992J 	 	 0.0460	36.35	 0.21	 0.25	gold  	Simbad	NED	152.25146	-26.64019
SN 1992P 	 	 0.0265	35.64	 0.20	 0.17	gold  	Simbad	NED	190.70387	+10.36006
SN 1992aq	 	 0.1010	38.73	 0.20	-0.03	gold  	Simbad	NED	346.14521	-37.34492
SN 1992ae	 	 0.0750	37.77	 0.19	 0.16	gold  	Simbad	NED	322.07475	-61.55039
SN 1992au	 	 0.0610	37.30	 0.22	 0.09	gold  	Simbad	NED	002.66867	-49.94592
SN 1992al	 	 0.0141	34.12	 0.25	 0.05	gold  	Simbad	NED	311.48537	-51.39442
SN 1992ag	 	 0.0262	35.06	 0.24	 0.54	gold  	Simbad	NED	201.04104	-23.87881
SN 1992bl	 	 0.0430	36.53	 0.19	-0.04	gold  	Simbad	NED	348.80454	-44.74325
SN 1992bh	 	 0.0450	36.97	 0.18	 0.35	gold  	Simbad	NED	074.86479	-58.82889
SN 1992bg	 	 0.0360	36.17	 0.19	 0.21	gold  	Simbad	NED	115.48562	-62.51944
SN 1992bk	 	 0.0580	37.13	 0.19	 0.03	gold  	Simbad	NED	055.75800	-53.63236
SN 1992bs	 	 0.0630	37.67	 0.19	 0.26	gold  	Simbad	NED	052.36354	-37.27183
SN 1992bc	 	 0.0186	34.96	 0.22	-0.04	gold  	Simbad	NED	046.31687	-39.55961
SN 1992bp	 	 0.0790	37.94	 0.18	 0.03	gold  	Simbad	NED	054.15833	-18.35372
SN 1992br	 	 0.0880	38.07	 0.28	-0.04	gold  	Simbad	NED	026.43875	-56.10111
SN 1992bo	 	 0.0178	34.70	 0.23	-0.01	gold  	Simbad	NED	020.50833	-34.19667
SN 1993B 	 	 0.0710	37.78	 0.19	 0.36	gold  	Simbad	NED	158.71429	-34.44178
SN 1993H 	 	 0.0251	35.09	 0.21	 0.05	gold  	Simbad	NED	208.20917	-30.70778
SN 1993O 	 	 0.0520	37.16	 0.18	 0.13	gold  	Simbad	NED	202.78500	-33.21500
SN 1993ah	 	 0.0286	35.53	 0.21	 0.26	gold  	Simbad	NED	357.95917	-27.96167
SN 1993ac	 	 0.0490	36.90	 0.20	 0.54	gold  	Simbad	NED	086.59821	+63.36861
SN 1993ag	 	 0.0500	37.08	 0.19	 0.28	gold  	Simbad	NED	150.89375	-35.46250
SN 1993ae	 	 0.0180	34.29	 0.23	 0.00	gold  	Simbad	NED	022.45379	-01.97697
SN 1994B 	 	 0.0890	38.50	 0.17	 0.00	silver	Simbad	NED	125.17042	+15.73000
SN 1994C 	 	 0.0510	36.67	 0.16	 0.00	silver	Simbad	NED	119.16792	+44.87194
SN 1994M 	 	 0.0244	35.09	 0.20	 0.23	gold  	Simbad	NED	187.78587	+00.60544
SN 1994Q 	 	 0.0290	35.70	 0.19	 0.33	gold  	Simbad	NED	252.46304	+40.43217
SN 1994S 	 	 0.0161	34.50	 0.24	 0.06	gold  	Simbad	NED	187.84104	+29.13444
SN 1994T 	 	 0.0360	36.01	 0.20	 0.09	gold  	Simbad	NED	200.37804	-02.14903
SN 1995E 	 	 0.0116	32.96	 0.29	 2.48	silver	Simbad	NED	117.98646	+73.00961
SN 1995K 	 	 0.4780	42.48	 0.23	 0.04	gold  	Simbad	NED	162.69562	-09.25183
SN 1995M 	 	 0.0530	37.17	 0.15	 0.00	silver	Simbad	NED	144.67429	-12.33558
SN 1995ap	 	 0.2300	40.44	 0.46	 0.00	silver	Simbad	NED	048.11721	+00.69539
SN 1995ao	 	 0.3000	40.76	 0.60	 0.00	silver	Simbad	NED	044.37792	-01.68883
SN 1995ae	 	 0.0670	37.54	 0.34	 0.00	silver	Simbad	NED	349.23187	-02.07678
SN 1995az	 	 0.4500	42.13	 0.21	     	gold  	Simbad	NED	070.13996	-05.50100
SN 1995ay	 	 0.4800	42.37	 0.20	     	gold  	Simbad	NED	045.28133	+00.35539
SN 1995ax	 	 0.6150	42.85	 0.23	     	gold  	Simbad	NED	036.60750	+00.81228
SN 1995aw	 	 0.4000	42.04	 0.19	     	gold  	Simbad	NED	036.23142	+00.88542
SN 1995as	 	 0.4980	43.21	 0.24	     	silver	Simbad	NED	015.39708	+04.43744
SN 1995ar	 	 0.4650	42.81	 0.22	     	silver	Simbad	NED	015.33504	+04.30939
SN 1995ac	 	 0.0490	36.52	 0.20	 0.40	gold  	Simbad	NED	341.39225	-08.75131
SN 1995ak	 	 0.0219	34.70	 0.22	 0.56	gold  	Simbad	NED	041.45346	+03.23058
SN 1995ba	 	 0.3880	42.07	 0.19	     	gold  	Simbad	NED	124.77692	+07.72256
SN 1995bd	 	 0.0152	34.11	 0.25	 0.70	gold  	Simbad	NED	071.33850	+11.06736
SN 1996C 	 	 0.0276	35.90	 0.20	 0.34	gold  	Simbad	NED	207.70000	+49.31667
SN 1996E 	 	 0.4250	41.70	 0.40	 0.35	gold  	Simbad	NED	152.58450	-12.55256
SN 1996H 	 	 0.6200	43.11	 0.30	 0.09	gold  	Simbad	NED	187.21992	-00.09472
SN 1996I 	 	 0.5700	42.81	 0.25	 0.14	gold  	Simbad	NED	180.16429	-00.26733
