z,mag,sigma,Exp_fact,D_L,D_L_low,D_L_high,err_D_L
0,0,0,1,0,0,0,0.01
0.0104,33.73,0.33,0.9897,55.72,47.86300923,64.86344335,8.5
0.0104,33.21,0.32,0.9897,43.85,37.84425847,50.81594426,6.49
0.0104,33.56,0.31,0.9897,51.52,44.66835922,59.42921586,7.38
0.0132,34.02,0.26,0.987,63.68,56.49369748,71.77942913,7.64
0.0136,33.73,0.26,0.9866,55.72,49.4310687,62.80583588,6.69
0.0141,34.12,0.25,0.9861,66.68,59.42921586,74.81695005,7.69
0.0141,34.43,0.26,0.9861,76.91,68.23386941,86.69618758,9.23
0.0152,34.11,0.25,0.985,66.37,59.15616342,74.47319739,7.66
0.0157,34.58,0.24,0.9845,82.41,73.79042301,92.04495718,9.13
0.0161,34.5,0.24,0.9842,79.43,71.12135137,88.7156012,8.8
0.0162,34.13,0.23,0.9841,66.99,60.25595861,74.47319739,7.11
0.0164,34.41,0.24,0.9839,76.21,68.23386941,85.11380382,8.44
0.0165,33.82,0.27,0.9838,58.08,51.2861384,65.76578374,7.24
0.0166,34.54,0.23,0.9837,80.91,72.77798045,89.94975815,8.59
0.0167,34.21,0.23,0.9836,69.5,62.51726928,77.26805851,7.38
0.017,34.47,0.23,0.9833,78.34,70.4693069,87.096359,8.31
0.017,34.18,0.23,0.9833,68.55,61.65950019,76.207901,7.27
0.0171,34.68,0.24,0.9832,86.3,77.26805851,96.38290236,9.56
0.0175,34.52,0.25,0.9828,80.17,71.44963261,89.94975815,9.25
0.0178,34.7,0.23,0.9825,87.1,78.34296428,96.82778563,9.24
0.018,34.29,0.23,0.9823,72.11,64.86344335,80.16780634,7.65
0.0186,34.96,0.22,0.9817,98.17,88.7156012,108.6425624,9.96
0.0193,34.59,0.23,0.9811,82.79,74.47319739,92.04495718,8.79
0.0218,35.06,0.21,0.9787,102.8,93.32543008,113.2400363,9.96
0.0219,34.7,0.22,0.9786,87.1,78.70457897,96.38290236,8.84
0.0233,35.14,0.21,0.9772,106.66,96.82778563,117.4897555,10.33
0.0234,35.36,0.2,0.9771,118.03,107.6465214,129.4195841,10.89
0.0244,35.09,0.2,0.9762,104.23,95.06047937,114.2878335,9.61
0.0251,35.09,0.21,0.9755,104.23,94.62371614,114.8153621,10.1
0.0257,35.41,0.2,0.9749,120.78,110.153931,132.4341535,11.14
0.026,35.62,0.2,0.9747,133.05,121.338885,145.881426,12.27
0.0262,35.06,0.24,0.9745,102.8,92.04495718,114.8153621,11.39
0.0265,35.64,0.2,0.9742,134.28,122.4616199,147.2312502,12.38
0.0266,35.36,0.21,0.9741,118.03,107.1519305,130.0169578,11.43
0.0276,35.9,0.2,0.9731,151.36,138.0384265,165.9586907,13.96
