Z,m_B,Err_m_B,Ef,D_L,D_L_Low,D_L_Hi,Err_D_L
0.0000,33.0000,0.0100,1.0000,0.0010,0.0000,0.0000,0.0010
0.0104,33.7300,0.3300,0.9897,55.7186,47.8630,64.8634,8.5002
0.0104,33.2100,0.3200,0.9897,43.8531,37.8443,50.8159,6.4858
0.0104,33.5600,0.3100,0.9897,51.5229,44.6684,59.4292,7.3804
0.0132,34.0200,0.2600,0.9870,63.6796,56.4937,71.7794,7.6429
0.0136,33.7300,0.2600,0.9866,55.7186,49.4311,62.8058,6.6874
0.0141,34.1300,0.2500,0.9861,66.9885,59.7035,75.1623,7.7294
0.0141,34.1200,0.2500,0.9861,66.6807,59.4292,74.8170,7.6939
0.0141,34.4300,0.2600,0.9861,76.9130,68.2339,86.6962,9.2312
0.0152,34.1100,0.2500,0.9850,66.3743,59.1562,74.4732,7.6585
0.0157,34.5800,0.2400,0.9845,82.4138,73.7904,92.0450,9.1273
0.0161,34.5000,0.2400,0.9842,79.4328,71.1214,88.7156,8.7971
0.0162,34.1300,0.2300,0.9841,66.9885,60.2560,74.4732,7.1086
0.0164,34.4100,0.2400,0.9839,76.2079,68.2339,85.1138,8.4400
0.0165,33.8200,0.2700,0.9838,58.0764,51.2861,65.7658,7.2398
0.0166,34.5400,0.2300,0.9837,80.9096,72.7780,89.9498,8.5859
0.0167,34.2100,0.2300,0.9836,69.5024,62.5173,77.2681,7.3754
0.0170,34.4700,0.2300,0.9833,78.3430,70.4693,87.0964,8.3135
0.0170,34.1800,0.2300,0.9833,68.5488,61.6595,76.2079,7.2742
0.0171,34.6800,0.2400,0.9832,86.2979,77.2681,96.3829,9.5574
0.0175,34.5200,0.2500,0.9828,80.1678,71.4496,89.9498,9.2501
0.0178,34.7000,0.2300,0.9825,87.0964,78.3430,96.8278,9.2424
0.0180,34.2900,0.2300,0.9823,72.1107,64.8634,80.1678,7.6522
0.0186,34.9600,0.2200,0.9817,98.1748,88.7156,108.6426,9.9635
