Counter,Z,m_B,Err_m_B
1.00,0.01,33.73,0.33
2.00,0.01,33.21,0.32
3.00,0.01,33.56,0.31
4.00,0.01,34.02,0.26
5.00,0.01,33.73,0.26
6.00,0.01,34.13,0.25
7.00,0.01,34.12,0.25
8.00,0.01,34.43,0.26
9.00,0.02,34.11,0.25
10.00,0.02,34.58,0.24
11.00,0.02,34.50,0.24
12.00,0.02,34.13,0.23
13.00,0.02,34.41,0.24
14.00,0.02,33.82,0.27
15.00,0.02,34.54,0.23
16.00,0.02,34.21,0.23
17.00,0.02,34.47,0.23
18.00,0.02,34.18,0.23
19.00,0.02,34.68,0.24
20.00,0.02,34.52,0.25
21.00,0.02,34.70,0.23
22.00,0.02,34.29,0.23
23.00,0.02,34.96,0.22
24.00,0.02,34.59,0.23
25.00,0.02,35.06,0.21
26.00,0.02,34.70,0.22
27.00,0.02,35.14,0.21
28.00,0.02,35.36,0.20
29.00,0.02,35.09,0.20
30.00,0.03,35.09,0.21
31.00,0.03,35.41,0.20
32.00,0.03,35.62,0.20
33.00,0.03,35.06,0.24
34.00,0.03,35.64,0.20
35.00,0.03,35.36,0.21
36.00,0.03,35.90,0.20
37.00,0.03,35.53,0.21
38.00,0.03,35.70,0.19
39.00,0.03,36.12,0.20
40.00,0.03,35.90,0.20
41.00,0.03,35.85,0.19
42.00,0.03,36.08,0.19
43.00,0.03,35.54,0.20
44.00,0.03,36.17,0.19
45.00,0.04,36.17,0.19
46.00,0.04,36.01,0.20
47.00,0.04,36.39,0.18
48.00,0.04,36.67,0.18
49.00,0.04,36.38,0.19
50.00,0.04,36.53,0.19
51.00,0.05,36.97,0.18
52.00,0.05,36.35,0.21
53.00,0.05,36.90,0.20
54.00,0.05,36.52,0.20
55.00,0.05,36.84,0.21
56.00,0.05,37.08,0.19
57.00,0.05,37.16,0.18
58.00,0.05,36.97,0.18
59.00,0.06,37.31,0.18
60.00,0.06,37.13,0.19
61.00,0.06,37.30,0.22
62.00,0.06,37.67,0.19
63.00,0.07,37.78,0.19
64.00,0.08,37.77,0.19
65.00,0.08,37.94,0.18
66.00,0.09,38.07,0.28
67.00,0.10,38.73,0.20
68.00,0.12,39.20,0.22
69.00,0.17,39.79,0.18
70.00,0.18,39.98,0.18
71.00,0.28,41.00,0.41
72.00,0.30,41.01,0.25
73.00,0.32,41.45,0.18
74.00,0.33,40.92,0.30
75.00,0.34,40.71,0.27
76.00,0.38,42.02,0.22
77.00,0.39,42.07,0.19
78.00,0.40,40.89,0.30
79.00,0.40,42.04,0.19
80.00,0.42,42.10,0.19
81.00,0.42,41.76,0.23
82.00,0.43,41.70,0.40
83.00,0.43,42.33,0.34
84.00,0.43,41.99,0.18
85.00,0.43,42.36,0.25
86.00,0.44,42.57,0.40
87.00,0.44,42.08,0.19
88.00,0.45,42.13,0.21
89.00,0.45,42.10,0.23
90.00,0.46,42.29,0.28
91.00,0.46,41.83,0.40
92.00,0.46,42.56,0.27
93.00,0.47,42.74,0.23
94.00,0.47,42.77,0.21
95.00,0.47,42.46,0.19
96.00,0.48,42.14,0.19
97.00,0.48,42.38,0.21
98.00,0.48,42.48,0.23
99.00,0.48,42.37,0.20
100.00,0.49,42.41,0.25
101.00,0.50,42.25,0.19
102.00,0.50,42.74,0.20
103.00,0.50,42.75,0.19
104.00,0.50,42.75,0.24
105.00,0.51,41.64,0.35
106.00,0.52,42.83,0.30
107.00,0.53,42.56,0.18
108.00,0.53,43.01,0.27
109.00,0.53,42.77,0.25
110.00,0.54,42.66,0.18
111.00,0.54,41.96,0.41
112.00,0.54,42.68,0.19
113.00,0.57,42.81,0.25
114.00,0.57,42.88,0.31
115.00,0.58,42.86,0.19
116.00,0.58,43.04,0.21
117.00,0.58,42.63,0.19
118.00,0.62,42.85,0.23
119.00,0.62,43.11,0.30
120.00,0.63,42.62,0.24
121.00,0.64,43.07,0.21
122.00,0.66,43.27,0.20
123.00,0.67,43.19,0.28
124.00,0.71,43.05,0.32
125.00,0.74,43.09,0.19
126.00,0.74,43.35,0.30
127.00,0.77,43.12,0.17
128.00,0.78,43.81,0.35
129.00,0.80,43.88,0.31
130.00,0.81,43.97,0.35
131.00,0.82,43.76,0.33
132.00,0.82,44.09,0.28
133.00,0.83,43.96,0.46
134.00,0.83,43.61,0.61
135.00,0.83,43.85,0.19
136.00,0.83,43.55,0.29
137.00,0.84,43.86,0.22
138.00,0.86,44.03,0.30
139.00,0.87,43.75,0.38
140.00,0.88,43.90,0.30
141.00,0.88,44.23,0.19
142.00,0.89,42.91,0.81
143.00,0.90,43.64,0.25
144.00,0.94,43.87,0.20
145.00,0.95,43.99,0.25
146.00,0.95,44.06,0.26
147.00,0.95,44.28,0.31
148.00,0.98,43.91,0.26
149.00,1.06,44.25,0.23
150.00,1.14,44.84,0.30
151.00,1.19,44.19,0.34
152.00,1.27,45.20,0.20
153.00,1.30,45.27,0.19
154.00,1.31,44.70,0.22
155.00,1.34,45.05,0.25
156.00,1.55,45.30,0.22
157.00,1.76,45.53,0.35
