zHD,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR_DIAG,D_L,D_L MAX,D_L MIN,SD
0.00122,0.998781487,28.9987,1.51645,6.30579721,12.67739435,3.136534003,4.770430175
0.00122,0.998781487,29.0559,1.51747,6.474108895,13.02188933,3.218740762,4.901574283
0.00256,0.997446537,30.7233,0.782372,13.95275601,20.00480858,9.731630257,5.136589159
0.00256,0.997446537,30.7449,0.799068,14.092239,20.36074196,9.753632767,5.303554597
0.00299,0.997018913,30.7757,0.881212,14.29354654,21.44778266,9.525715357,5.961033649
0.00317,0.996840017,30.7946,0.614535,14.41849729,19.13493538,10.86458145,4.135176968
0.00331,0.99670092,30.4604,0.594683,12.36175124,16.2561089,9.400336497,3.427886202
0.00331,0.99670092,30.5528,0.580251,12.89911753,16.85039943,9.874379174,3.488010127
0.00331,0.99670092,30.4013,0.578445,12.02984412,15.70178405,9.216605528,3.242589259
0.00331,0.99670092,30.5107,0.578546,12.65144116,16.51388287,9.692388196,3.410747339
0.00333,0.996681052,31.5011,0.591006,19.96273308,26.20723482,15.20613354,5.500550641
0.00349,0.996522138,31.7933,0.55272,22.83810156,29.45805034,17.70581817,5.876116084
0.00349,0.996522138,31.4967,0.545492,19.92232405,25.61169964,15.49678472,5.057457458
0.00359,0.996422842,31.6969,0.550993,21.84640598,28.15649554,16.95045654,5.603019499
0.00384,0.996174689,30.9999,0.566505,15.84820207,20.57221242,12.20896925,4.181621583
0.00407,0.995946498,31.3933,0.476404,18.99590548,23.65597214,15.25384047,4.201065835
0.00407,0.995946498,31.3779,0.479276,18.86166382,23.51988533,15.12602452,4.196930405
0.00432,0.995698582,31.499,0.514259,19.94343674,25.27270919,15.73795141,4.767378892
0.00432,0.995698582,31.5611,0.530838,20.52201497,26.20520732,16.07135151,5.066927907
0.00465,0.995371522,31.9309,0.442017,24.33212282,29.82520243,19.85073538,4.987233526
0.00465,0.995371522,32.033,0.420403,25.5035126,30.95142153,21.01451639,4.96845257
0.00482,0.995203121,31.2476,0.558603,17.76315069,22.97421071,13.73407454,4.620068089
0.00483,0.995193217,31.1331,0.446882,16.85077967,20.70124189,13.71650923,3.49236633
0.00483,0.995193217,31.6525,0.564724,21.40424927,27.76161966,16.50270742,5.629456121
0.00483,0.995193217,31.2234,0.410577,17.56628805,21.22244418,14.54000648,3.341218852
0.00483,0.995193217,31.34,0.562589,18.53531623,24.01694702,14.3048135,4.856066759
0.00483,0.995193217,31.7635,0.574442,22.52682577,29.34866831,17.29066115,6.029003578
0.00488,0.995143699,31.4473,0.448264,19.47421678,23.93937457,15.84189754,4.048738516
0.00488,0.995143699,31.539,0.407028,20.31421291,24.50222931,16.84202858,3.830100365
0.00538,0.99464879,31.6512,0.514401,21.39143898,27.10941837,16.87950863,5.114954871
0.00548,0.994549867,31.7282,0.501431,22.16358451,27.92069342,17.59356298,5.163565222
0.0057,0.994332306,31.9117,0.469628,24.11792832,29.94095165,19.42738738,5.256782138
0.0057,0.994332306,31.8985,0.483668,23.97176436,29.95253608,19.18520305,5.383666516
0.00571,0.994322419,31.6799,0.375913,21.67604281,25.77285913,18.23045047,3.771204333
0.00571,0.994322419,31.6292,0.385756,21.17580846,25.29246746,17.72918615,3.781640657
0.00587,0.994164256,31.7403,0.491367,22.2874304,27.9468845,17.77405829,5.086413105
0.00588,0.994154372,32.1822,0.339643,27.31744013,31.94247768,23.36207426,4.290201712
0.00592,0.99411484,32.4685,0.487055,31.16735875,39.00416635,24.90514072,7.049512813
0.00602,0.994016024,31.9404,0.344335,24.43880691,28.63828456,20.85513474,3.891574909
0.00602,0.994016024,32.0666,0.343707,25.90120684,30.34320142,22.10948365,4.116858888
0.00602,0.994016024,31.9102,0.350249,24.10127399,28.31977509,20.51115894,3.904308076
0.00616,0.993877713,30.9079,0.524992,15.19077741,19.34543056,11.92838368,3.708523438
0.00616,0.993877713,31.1857,0.452235,17.26394326,21.26116217,14.01822415,3.621469008
0.00625,0.99378882,32.0667,0.32593,25.90239966,30.09719347,22.29225488,3.902469294
0.00625,0.99378882,32.0023,0.36156,25.14548404,29.70106348,21.28864402,4.206209728
0.00625,0.99378882,32.0999,0.322811,26.30146866,30.51702546,22.66823989,3.924392784
0.00625,0.99378882,32.0337,0.339166,25.51173529,29.82450195,21.82261546,4.000943245
0.0063,0.993739442,32.0754,0.533991,26.00638574,33.25662704,20.33676171,6.459932663
0.0063,0.993739442,32.0843,0.537335,26.11319429,33.44467654,20.38886264,6.52790695
0.0063,0.993739442,32.0203,0.538159,25.35478896,32.48566788,19.78919828,6.348234802
0.00631,0.993729566,32.8333,0.562902,36.86888468,47.77936791,28.44982504,9.664771432
0.00634,0.993699942,32.4001,0.482567,30.20090798,37.71667504,24.18280088,6.766937079
0.00648,0.99356172,32.4608,0.318474,31.05703561,35.96290783,26.82039687,4.571255481
