zHD,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR_DIAG,D_L,D_L MAX,D_L MIN,SD
0.00,1.00,29.00,1.52,6.31,12.68,3.14,4.77
0.00,1.00,29.06,1.52,6.47,13.02,3.22,4.90
0.00,1.00,30.72,0.78,13.95,20.00,9.73,5.14
0.00,1.00,30.74,0.80,14.09,20.36,9.75,5.30
0.00,1.00,30.78,0.88,14.29,21.45,9.53,5.96
0.00,1.00,30.79,0.61,14.42,19.13,10.86,4.14
0.00,1.00,30.46,0.59,12.36,16.26,9.40,3.43
0.00,1.00,30.55,0.58,12.90,16.85,9.87,3.49
0.00,1.00,30.40,0.58,12.03,15.70,9.22,3.24
0.00,1.00,30.51,0.58,12.65,16.51,9.69,3.41
0.00,1.00,31.50,0.59,19.96,26.21,15.21,5.50
0.00,1.00,31.79,0.55,22.84,29.46,17.71,5.88
0.00,1.00,31.50,0.55,19.92,25.61,15.50,5.06
0.00,1.00,31.70,0.55,21.85,28.16,16.95,5.60
0.00,1.00,31.00,0.57,15.85,20.57,12.21,4.18
0.00,1.00,31.39,0.48,19.00,23.66,15.25,4.20
0.00,1.00,31.38,0.48,18.86,23.52,15.13,4.20
0.00,1.00,31.50,0.51,19.94,25.27,15.74,4.77
0.00,1.00,31.56,0.53,20.52,26.21,16.07,5.07
0.00,1.00,31.93,0.44,24.33,29.83,19.85,4.99
0.00,1.00,32.03,0.42,25.50,30.95,21.01,4.97
0.00,1.00,31.25,0.56,17.76,22.97,13.73,4.62
0.00,1.00,31.13,0.45,16.85,20.70,13.72,3.49
0.00,1.00,31.65,0.56,21.40,27.76,16.50,5.63
0.00,1.00,31.22,0.41,17.57,21.22,14.54,3.34
0.00,1.00,31.34,0.56,18.54,24.02,14.30,4.86
0.00,1.00,31.76,0.57,22.53,29.35,17.29,6.03
0.00,1.00,31.45,0.45,19.47,23.94,15.84,4.05
0.00,1.00,31.54,0.41,20.31,24.50,16.84,3.83
0.01,0.99,31.65,0.51,21.39,27.11,16.88,5.11
0.01,0.99,31.73,0.50,22.16,27.92,17.59,5.16
0.01,0.99,31.91,0.47,24.12,29.94,19.43,5.26
0.01,0.99,31.90,0.48,23.97,29.95,19.19,5.38
0.01,0.99,31.68,0.38,21.68,25.77,18.23,3.77
0.01,0.99,31.63,0.39,21.18,25.29,17.73,3.78
0.01,0.99,31.74,0.49,22.29,27.95,17.77,5.09
0.01,0.99,32.18,0.34,27.32,31.94,23.36,4.29
0.01,0.99,32.47,0.49,31.17,39.00,24.91,7.05
0.01,0.99,31.94,0.34,24.44,28.64,20.86,3.89
0.01,0.99,32.07,0.34,25.90,30.34,22.11,4.12
0.01,0.99,31.91,0.35,24.10,28.32,20.51,3.90
0.01,0.99,30.91,0.52,15.19,19.35,11.93,3.71
0.01,0.99,31.19,0.45,17.26,21.26,14.02,3.62
0.01,0.99,32.07,0.33,25.90,30.10,22.29,3.90
0.01,0.99,32.00,0.36,25.15,29.70,21.29,4.21
0.01,0.99,32.10,0.32,26.30,30.52,22.67,3.92
0.01,0.99,32.03,0.34,25.51,29.82,21.82,4.00
0.01,0.99,32.08,0.53,26.01,33.26,20.34,6.46
0.01,0.99,32.08,0.54,26.11,33.44,20.39,6.53
0.01,0.99,32.02,0.54,25.35,32.49,19.79,6.35
0.01,0.99,32.83,0.56,36.87,47.78,28.45,9.66
0.01,0.99,32.40,0.48,30.20,37.72,24.18,6.77
0.01,0.99,32.46,0.32,31.06,35.96,26.82,4.57
0.01,0.99,32.43,0.32,30.67,35.58,26.44,4.57
0.01,0.99,31.73,0.53,22.20,28.36,17.39,5.49
0.01,0.99,31.22,0.42,17.55,21.30,14.46,3.42
0.01,0.99,32.36,0.36,29.64,34.97,25.12,4.93
0.01,0.99,31.97,0.42,24.81,30.04,20.49,4.78
0.01,0.99,32.20,0.34,27.48,32.15,23.49,4.33
0.01,0.99,32.17,0.37,27.20,32.27,22.93,4.67
0.01,0.99,32.20,0.35,27.60,32.40,23.52,4.44
0.01,0.99,32.44,0.44,30.77,37.67,25.13,6.27
0.01,0.99,32.32,0.33,29.10,33.80,25.05,4.38
0.01,0.99,32.33,0.35,29.28,34.37,24.94,4.72
0.01,0.99,32.32,0.32,29.14,33.80,25.11,4.35
0.01,0.99,32.44,0.30,30.79,35.36,26.82,4.27
0.01,0.99,32.46,0.30,31.11,35.72,27.09,4.31
0.01,0.99,32.79,0.29,36.21,41.37,31.70,4.84
0.01,0.99,32.74,0.29,35.36,40.50,30.87,4.81
0.01,0.99,32.77,0.29,35.78,40.94,31.28,4.83
0.01,0.99,32.33,0.37,29.26,34.75,24.63,5.06
0.01,0.99,32.30,0.40,28.84,34.62,24.02,5.30
0.01,0.99,32.64,0.36,33.76,39.89,28.56,5.66
0.01,0.99,32.72,0.32,34.94,40.43,30.19,5.12
0.01,0.99,32.62,0.32,33.34,38.59,28.81,4.89
0.01,0.99,32.71,0.37,34.82,41.24,29.40,5.92
0.01,0.99,32.37,0.37,29.80,35.37,25.11,5.13
0.01,0.99,32.74,0.28,35.37,40.24,31.09,4.58
0.01,0.99,32.67,0.29,34.21,39.04,29.97,4.53
0.01,0.99,32.45,0.49,30.84,38.66,24.60,7.03
0.01,0.99,32.48,0.34,31.39,36.76,26.81,4.97
0.01,0.99,33.21,0.46,43.93,54.37,35.50,9.43
0.01,0.99,32.52,0.47,31.93,39.57,25.77,6.90
0.01,0.99,32.69,0.48,34.55,43.19,27.64,7.78
0.01,0.99,32.69,0.36,34.56,40.78,29.29,5.74
0.01,0.99,32.85,0.32,37.19,43.05,32.12,5.47
0.01,0.99,32.75,0.27,35.53,40.18,31.41,4.39
0.01,0.99,32.72,0.38,35.03,41.80,29.36,6.22
0.01,0.99,32.37,0.34,29.85,34.88,25.54,4.67
0.01,0.99,32.39,0.33,30.12,35.09,25.86,4.61
0.01,0.99,32.34,0.34,29.31,34.24,25.09,4.58
0.01,0.99,32.42,0.43,30.48,37.07,25.06,6.01
0.01,0.99,32.86,0.33,37.35,43.42,32.13,5.65
0.01,0.99,32.80,0.37,36.29,43.01,30.62,6.19
0.01,0.99,32.75,0.41,35.48,42.84,29.38,6.73
0.01,0.99,32.89,0.29,37.87,43.21,33.19,5.01
0.01,0.99,32.90,0.28,37.97,43.25,33.33,4.96
0.01,0.99,32.92,0.29,38.30,43.68,33.58,5.05
0.01,0.99,32.34,0.40,29.31,35.26,24.37,5.45
0.01,0.99,33.04,0.27,40.55,45.90,35.82,5.04
0.01,0.99,33.21,0.25,43.92,49.37,39.08,5.14
0.01,0.99,33.23,0.25,44.28,49.72,39.43,5.15
0.01,0.99,33.25,0.25,44.60,50.16,39.66,5.25
0.01,0.99,32.90,0.31,38.04,43.86,32.98,5.44
0.01,0.99,32.87,0.33,37.42,43.65,32.08,5.79
0.01,0.99,32.80,0.36,36.36,42.87,30.83,6.02
0.01,0.99,32.92,0.37,38.31,45.48,32.27,6.61
0.01,0.99,33.48,0.37,49.55,58.84,41.73,8.55
0.01,0.99,32.65,0.41,33.82,40.83,28.01,6.41
0.01,0.99,32.75,0.36,35.41,41.80,30.00,5.90
0.01,0.99,32.90,0.33,38.05,44.37,32.62,5.88
0.01,0.99,32.78,0.35,35.96,42.23,30.63,5.80
0.01,0.99,32.92,0.37,38.34,45.36,32.40,6.48
0.01,0.99,32.97,0.34,39.22,45.90,33.50,6.20
0.01,0.99,33.34,0.31,46.51,53.56,40.39,6.58
0.01,0.99,33.23,0.30,44.16,50.68,38.48,6.10
0.01,0.99,33.28,0.25,45.26,50.74,40.38,5.18
0.01,0.99,33.12,0.32,42.14,48.77,36.41,6.18
0.01,0.99,33.09,0.34,41.44,48.55,35.37,6.59
0.01,0.99,33.38,0.31,47.44,54.69,41.15,6.77
0.01,0.99,33.29,0.27,45.56,51.71,40.15,5.78
0.01,0.99,33.11,0.36,41.84,49.49,35.37,7.06
0.01,0.99,33.07,0.32,41.08,47.69,35.39,6.15
0.01,0.99,33.18,0.38,43.27,51.50,36.36,7.57
0.01,0.99,33.57,0.31,51.78,59.86,44.79,7.53
0.01,0.99,33.73,0.34,55.81,65.35,47.67,8.84
0.01,0.99,33.64,0.30,53.38,61.15,46.59,7.28
0.01,0.99,33.83,0.35,58.47,68.82,49.68,9.57
0.01,0.99,33.43,0.28,48.61,55.39,42.66,6.36
0.01,0.99,33.49,0.33,50.00,58.07,43.04,7.51
0.01,0.99,33.58,0.28,52.08,59.28,45.75,6.76
0.01,0.99,33.50,0.30,50.06,57.51,43.57,6.97
0.01,0.99,33.88,0.35,59.66,69.97,50.86,9.56
0.01,0.99,33.70,0.27,55.01,62.20,48.65,6.77
0.01,0.99,33.74,0.25,55.98,62.93,49.80,6.57
0.01,0.99,33.83,0.27,58.31,65.88,51.61,7.14
0.01,0.99,33.71,0.24,55.16,61.62,49.37,6.13
0.01,0.99,33.72,0.25,55.58,62.36,49.53,6.42
0.01,0.99,33.59,0.26,52.18,58.82,46.29,6.26
0.01,0.99,33.52,0.27,50.53,57.12,44.70,6.21
0.01,0.99,33.75,0.42,56.21,68.10,46.40,10.85
0.01,0.99,33.64,0.29,53.37,60.92,46.75,7.08
0.01,0.99,33.50,0.33,50.18,58.45,43.09,7.68
0.01,0.99,33.74,0.24,55.86,62.38,50.02,6.18
0.01,0.99,33.76,0.29,56.51,64.50,49.51,7.50
0.01,0.99,33.58,0.29,51.88,59.37,45.34,7.01
0.01,0.99,33.57,0.28,51.70,58.94,45.34,6.80
0.01,0.99,33.52,0.27,50.58,57.37,44.60,6.39
0.01,0.99,33.47,0.26,49.47,55.80,43.86,5.97
0.01,0.99,33.97,0.30,62.18,71.51,54.06,8.72
0.01,0.99,33.98,0.30,62.65,71.91,54.58,8.67
0.01,0.99,33.92,0.30,60.95,70.12,52.97,8.58
0.01,0.99,33.80,0.28,57.46,65.31,50.56,7.37
0.01,0.99,33.77,0.23,56.71,63.13,50.95,6.09
0.01,0.99,33.77,0.24,56.81,63.32,50.96,6.18
0.01,0.99,33.76,0.29,56.62,64.68,49.57,7.55
0.01,0.99,33.67,0.35,54.30,63.66,46.32,8.67
0.01,0.99,33.70,0.23,54.87,61.10,49.28,5.91
0.01,0.99,33.81,0.29,57.68,65.89,50.50,7.69
0.01,0.99,33.67,0.30,54.08,61.98,47.18,7.40
0.01,0.99,33.82,0.25,58.09,65.21,51.75,6.73
0.01,0.99,33.84,0.27,58.73,66.37,51.97,7.20
0.01,0.99,34.02,0.31,63.64,73.31,55.25,9.03
0.01,0.99,34.02,0.35,63.82,75.07,54.26,10.40
0.01,0.99,34.34,0.37,73.67,87.39,62.11,12.64
0.01,0.99,34.18,0.40,68.49,82.22,57.05,12.59
0.01,0.99,34.25,0.40,70.86,85.08,59.01,13.04
0.01,0.99,33.91,0.24,60.47,67.56,54.13,6.71
0.01,0.99,34.17,0.37,68.32,80.83,57.75,11.54
0.01,0.99,33.75,0.22,56.30,62.20,50.96,5.62
0.01,0.99,33.88,0.25,59.78,67.05,53.29,6.88
0.01,0.99,33.93,0.24,60.96,68.21,54.48,6.86
0.01,0.99,33.76,0.39,56.37,67.48,47.09,10.19
0.01,0.99,33.72,0.39,55.43,66.43,46.26,10.08
0.01,0.99,33.89,0.24,60.02,67.06,53.73,6.67
0.01,0.99,33.79,0.40,57.26,68.76,47.69,10.54
