zHD,EXP_FAC,MU_SH0ES,MU_SH0ES_ERR_DIAG,D_L,D_L MAX,D_L MIN,SD
0.0044,0.9957,31.4600,0.0400,19.5884,19.2309,19.9526,0.3609
0.0035,0.9965,30.9600,0.0500,15.5597,15.2055,15.9221,0.3583
0.0044,0.9957,31.4600,0.0400,19.5884,19.2309,19.9526,0.3609
0.0023,0.9977,30.2200,0.0400,11.0662,10.8643,11.2720,0.2039
0.0035,0.9965,31.0000,0.0700,15.8489,15.3462,16.3682,0.5110
0.0052,0.9948,32.2700,0.0500,28.4446,27.7971,29.1072,0.6550
0.0063,0.9937,32.2200,0.0500,27.7971,27.1644,28.4446,0.6401
0.0023,0.9977,30.3100,0.0400,11.5345,11.3240,11.7490,0.2125
0.0035,0.9965,31.3200,0.0600,18.3654,17.8649,18.8799,0.5075
0.0062,0.9938,32.5000,0.0700,31.6228,30.6196,32.6588,1.0196
0.0044,0.9957,31.4600,0.0400,19.5884,19.2309,19.9526,0.3609
0.0066,0.9934,31.8200,0.1000,23.1206,22.0800,24.2103,1.0651
0.0044,0.9957,31.4200,0.0500,19.2309,18.7932,19.6789,0.4428
0.0057,0.9944,31.6800,0.0500,21.6770,21.1836,22.1820,0.4992
0.0015,0.9985,29.0800,0.0400,6.5464,6.4269,6.6681,0.1206
0.0044,0.9957,31.4200,0.0500,19.2309,18.7932,19.6789,0.4428
0.0035,0.9965,31.0000,0.0600,15.8489,15.4170,16.2930,0.4380
0.0043,0.9957,31.3600,0.0500,18.7068,18.2810,19.1426,0.4308
0.0012,0.9988,28.9987,1.5165,6.3058,12.6774,3.1365,4.7704
0.0012,0.9988,29.0559,1.5175,6.4741,13.0219,3.2187,4.9016
0.0026,0.9974,30.7233,0.7824,13.9528,20.0048,9.7316,5.1366
0.0026,0.9974,30.7449,0.7991,14.0922,20.3607,9.7536,5.3036
0.0030,0.9970,30.7757,0.8812,14.2935,21.4478,9.5257,5.9610
0.0032,0.9968,30.7946,0.6145,14.4185,19.1349,10.8646,4.1352
0.0033,0.9967,30.4604,0.5947,12.3618,16.2561,9.4003,3.4279
0.0033,0.9967,30.5528,0.5803,12.8991,16.8504,9.8744,3.4880
0.0033,0.9967,30.4013,0.5784,12.0298,15.7018,9.2166,3.2426
0.0033,0.9967,30.5107,0.5785,12.6514,16.5139,9.6924,3.4107
0.0033,0.9967,31.5011,0.5910,19.9627,26.2072,15.2061,5.5006
0.0035,0.9965,31.7933,0.5527,22.8381,29.4581,17.7058,5.8761
0.0035,0.9965,31.4967,0.5455,19.9223,25.6117,15.4968,5.0575
0.0036,0.9964,31.6969,0.5510,21.8464,28.1565,16.9505,5.6030
0.0038,0.9962,30.9999,0.5665,15.8482,20.5722,12.2090,4.1816
0.0041,0.9959,31.3933,0.4764,18.9959,23.6560,15.2538,4.2011
0.0041,0.9959,31.3779,0.4793,18.8617,23.5199,15.1260,4.1969
0.0043,0.9957,31.4990,0.5143,19.9434,25.2727,15.7380,4.7674
0.0043,0.9957,31.5611,0.5308,20.5220,26.2052,16.0714,5.0669
0.0047,0.9954,31.9309,0.4420,24.3321,29.8252,19.8507,4.9872
0.0047,0.9954,32.0330,0.4204,25.5035,30.9514,21.0145,4.9685
0.0048,0.9952,31.2476,0.5586,17.7632,22.9742,13.7341,4.6201
0.0048,0.9952,31.1331,0.4469,16.8508,20.7012,13.7165,3.4924
0.0048,0.9952,31.6525,0.5647,21.4042,27.7616,16.5027,5.6295
0.0048,0.9952,31.2234,0.4106,17.5663,21.2224,14.5400,3.3412
0.0048,0.9952,31.3400,0.5626,18.5353,24.0169,14.3048,4.8561
