z,Exp.fact,distance mag,error ,D_L,D_L_low,D_L_Hi,Err_D_L,cz (km/sec)
0,1,25,0.01,0,0,0,0.01,0
0.0024,0.9976,30.22,0.05,11.0662,10.8143,11.324,0.2548,727
0.003,0.997,30.2,0.05,10.9648,10.7152,11.2202,0.2525,897
0.0008,0.9992,29.08,0.05,6.5464,6.3973,6.6988,0.1507,241
0.0057,0.9944,31.36,0.07,18.7068,18.1134,19.3197,0.6031,1694
0.0057,0.9944,31.36,0.07,18.7068,18.1134,19.3197,0.6031,1694
0.0057,0.9944,31.36,0.07,18.7068,18.1134,19.3197,0.6031,1694
0.0051,0.9949,31.41,0.05,19.1426,18.7068,19.5884,0.4408,1539
0.0061,0.9939,31.29,0.07,18.1134,17.5388,18.7068,0.584,1841
0.0061,0.9939,31.29,0.07,18.1134,17.5388,18.7068,0.584,1841
0.0037,0.9963,31.33,0.06,18.4502,17.9473,18.9671,0.5099,1102
0.0066,0.9934,31.68,0.14,21.677,20.3236,23.1206,1.3985,1979
0.0026,0.9974,31,0.07,15.8489,15.3462,16.3682,0.511,774
0.0032,0.9968,30.99,0.05,15.7761,15.417,16.1436,0.3633,953
0.0072,0.9929,31.01,0.13,15.9221,14.9968,16.9044,0.9538,2151
0.0047,0.9954,30.42,0.07,12.1339,11.749,12.5314,0.3912,1400
0.0047,0.996,30.42,0.07,12.1339,11.749,12.5314,0.3912,1400
