z,dist_mag,mag_ERR
0.0044,31.4600,0.0400
0.0035,30.9600,0.0500
0.0044,31.4600,0.0400
0.0023,30.2200,0.0400
0.0035,31.0000,0.0700
0.0052,32.2700,0.0500
0.0063,32.2200,0.0500
0.0023,30.3100,0.0400
0.0035,31.3200,0.0600
0.0062,32.5000,0.0700
0.0044,31.4600,0.0400
0.0066,31.8200,0.1000
0.0044,31.4200,0.0500
0.0057,31.6800,0.0500
0.0015,29.0800,0.0400
0.0044,31.4200,0.0500
0.0035,31.0000,0.0600
0.0043,31.3600,0.0500
0.0012,28.9987,1.5165
0.0012,29.0559,1.5175
0.0026,30.7233,0.7824
0.0026,30.7449,0.7991
0.0030,30.7757,0.8812
0.0032,30.7946,0.6145
0.0033,30.4604,0.5947
0.0033,30.5528,0.5803
0.0033,30.4013,0.5784
0.0033,30.5107,0.5785
0.0033,31.5011,0.5910
0.0035,31.7933,0.5527
0.0035,31.4967,0.5455
0.0036,31.6969,0.5510
0.0038,30.9999,0.5665
0.0041,31.3933,0.4764
0.0041,31.3779,0.4793
0.0043,31.4990,0.5143
0.0043,31.5611,0.5308
0.0047,31.9309,0.4420
0.0047,32.0330,0.4204
0.0048,31.2476,0.5586
0.0048,31.1331,0.4469
0.0048,31.6525,0.5647
0.0048,31.2234,0.4106
0.0048,31.3400,0.5626
0.0048,31.7635,0.5744
0.0049,31.4473,0.4483
0.0049,31.5390,0.4070
0.0054,31.6512,0.5144
0.0055,31.7282,0.5014
0.0057,31.9117,0.4696
0.0057,31.8985,0.4837
0.0057,31.6799,0.3759
0.0057,31.6292,0.3858
0.0059,31.7403,0.4914
0.0059,32.1822,0.3396
0.0059,32.4685,0.4871
0.0060,31.9404,0.3443
0.0060,32.0666,0.3437
0.0060,31.9102,0.3502
0.0062,30.9079,0.5250
0.0062,31.1857,0.4522
0.0063,32.0667,0.3259
0.0063,32.0023,0.3616
0.0063,32.0999,0.3228
0.0063,32.0337,0.3392
0.0063,32.0754,0.5340
0.0063,32.0843,0.5373
0.0063,32.0203,0.5382
0.0063,32.8333,0.5629
0.0063,32.4001,0.4826
0.0065,32.4608,0.3185
0.0065,32.4338,0.3223
0.0067,31.7321,0.5312
0.0067,31.2217,0.4207
0.0067,32.3593,0.3594
0.0068,31.9733,0.4155
0.0068,32.1951,0.3405
0.0068,32.1729,0.3711
0.0068,32.2048,0.3480
0.0069,32.4405,0.4396
